Order_ID,Customer_ID,Customer_Type,Product,Category,Unit_Price,Quantity,Discount,Total_Price,Region,Order_Date,Cluster
ORD30565,CUS8839,B2C,10,2,-0.2592754737535248,-0.6363139334312481,-0.6644406201095662,-0.23271786028520874,2,2021-02-05,0
ORD1713842,CUS4827,B2C,13,1,-0.2722282709681509,-0.37560753271046043,-0.6644406201095662,-0.2102393194072703,3,2022-03-25,0
ORD2367638,CUS3732,B2C,32,3,-0.36357957763972437,-0.8225327910889536,-0.6644406201095662,-0.2552356307283792,8,2021-10-21,0
ORD2952688,CUS1519,B2C,33,2,-0.35676231594781593,-0.7852890195574125,-0.6644406201095662,-0.253941055075723,8,2023-02-27,0
ORD535815,CUS1605,B2C,11,3,-0.3260846383342278,-0.45009507577354263,-0.6644406201095662,-0.23434588724233693,12,2021-07-14,0
ORD1111058,CUS8404,B2B,38,3,-0.30154249624335727,-0.22663244658429604,0.45147859676182905,-0.2127303967995026,4,2023-09-21,2
ORD2731792,CUS1821,B2C,25,2,-0.23950541484699023,-0.5245826188366248,-0.6644406201095662,-0.21588837680067893,13,2022-06-25,0
ORD2054513,CUS9940,B2C,34,1,-0.1611069053900428,-0.30111998964737824,-0.6644406201095662,-0.15521985416938436,6,2023-05-03,0
ORD1532329,CUS1488,B2C,37,3,-0.35539886360943423,-0.599070161899707,-0.6644406201095662,-0.2481743089866184,10,2023-03-17,0
ORD72086,CUS2454,B2C,2,0,-0.2988155915665939,-0.4128513042420015,-0.6644406201095662,-0.22294969854243968,4,2023-12-12,0
ORD1703481,CUS6496,B2C,11,3,-0.3240394598266553,-0.6363139334312481,-0.6644406201095662,-0.24389828637632996,14,2022-11-01,0
ORD2428470,CUS9950,B2C,0,3,-0.329493269180182,-0.599070161899707,-0.6644406201095662,-0.24295677681076186,12,2022-11-26,0
ORD498392,CUS4699,B2C,13,1,-0.2756369018141051,-0.37560753271046043,-0.6644406201095662,-0.21151428027731045,15,2021-04-10,0
ORD2578356,CUS7513,B2C,2,0,-0.30426940092012067,-0.8225327910889536,-0.6644406201095662,-0.25352914464078696,5,2021-01-16,0
ORD279885,CUS7522,B2C,21,2,-0.3315384476877546,-0.7108014764943303,-0.6644406201095662,-0.2488412115955625,0,2021-10-03,0
ORD1596579,CUS8829,B2B,2,0,-0.3213125551498919,0.2947803548572793,0.45147859676182905,-0.1937432872272125,4,2022-07-23,1
ORD1165833,CUS3135,B2C,5,2,-0.3199491028115101,-0.7480452480258714,-0.6644406201095662,-0.2496650324654346,10,2023-05-04,0
ORD699315,CUS5487,B2C,11,3,-0.3260846383342278,-0.599070161899707,-0.6644406201095662,-0.2422702594192018,3,2021-03-07,0
ORD1168008,CUS2540,B2C,33,2,-0.35880749445538845,-0.4128513042420015,-0.6644406201095662,-0.24366290898493792,2,2021-12-09,0
ORD694608,CUS2298,B2C,5,2,-0.3219942813190827,-0.6363139334312481,-0.6644406201095662,-0.24354522028924191,11,2022-02-09,0
ORD308208,CUS6813,B2C,15,0,-0.2865445205211587,-0.37560753271046043,-0.6644406201095662,-0.2155941550614389,5,2022-07-07,0
ORD855,CUS3609,B2C,27,2,-0.24018714101618108,-0.4873388473050837,-0.6644406201095662,-0.21161235419039046,5,2022-04-22,0
ORD2465850,CUS2799,B2C,11,3,-0.3240394598266553,-0.7852890195574125,-0.6644406201095662,-0.2520580359445868,4,2022-11-16,0
ORD208826,CUS792,B2C,38,3,-0.29813386539740305,-0.8225327910889536,-0.6644406201095662,-0.253352611597243,6,2022-09-10,0
ORD2438603,CUS622,B2C,38,3,-0.29540696072063966,-0.45009507577354263,-0.6644406201095662,-0.22463656984741587,8,2023-10-22,0
ORD2003448,CUS8956,B2C,29,3,-0.33290190002613623,-0.8225327910889536,-0.6644406201095662,-0.2543529655106591,15,2023-09-26,0
ORD2418977,CUS8995,B2C,37,3,-0.35539886360943423,-0.8225327910889536,-0.6644406201095662,-0.2550002533369871,8,2023-03-12,0
ORD715719,CUS2797,B2B,25,2,-0.25245821206161634,0.2575365833257382,0.45147859676182905,-0.13931226546780665,10,2021-11-04,1
ORD174693,CUS8587,B2C,22,1,-0.18905767832686754,-0.4128513042420015,-0.6644406201095662,-0.18505393852832358,14,2022-03-03,0
ORD1293522,CUS115,B2B,20,2,-0.25450339056918886,0.592730527109608,1.5673978136332243,-0.11430341763240393,8,2021-01-23,3
ORD553599,CUS3474,B2C,8,3,-0.31108666261202916,-0.599070161899707,-0.6644406201095662,-0.23924958289633746,13,2021-10-06,0
ORD1395067,CUS4355,B2C,17,1,-0.16928761942033296,-0.4873388473050837,-0.6644406201095662,-0.19121298026974826,1,2023-12-18,0
